Canning Town,51.51387029,0.008320041548,3,E16 1DQ
Cannon Street,51.5113621,-0.09023611889,1,EC4N 6AP
Canonbury,51.5481884,-0.0925597762,2,N1 2PG
Canons Park,51.60765061,-0.2943771583,5,HA8 6RN
Carpenders Park,51.62818676,-0.3858148791,7,WD19 7DT
Carshalton,51.36842639,-0.1663839649,5,SM5 2HT
Carshalton Beeches,51.35738686,-0.1694819665,5,SM5 3LG
Castle Bar Park,51.52297371,-0.3314896649,4,W7 1AY
Caterham,51.28216283,-0.07859296236,6,CR3 6LB
Catford,51.44426491,-0.0265241117,3,SE6 4XT
Catford Bridge,51.44469463,-0.02480748891,3,SE6 4RE
Centrale,51.37576748,-0.1038737384,5,CR0 1XT
Chadwell Heath,51.56804686,0.1289155375,5,RM6 4BE
Chafford Hundred,51.48555446,0.2874901004,7,RM16 6QQ
Chalfont and Latimer,51.66790755,-0.5610533204,8,HP7 9PR
Chalk Farm,51.5441491,-0.1537186526,2,NW3 2BP
Chancery Lane,51.51849403,-0.1119476172,1,WC1V 6DR
Charing Cross,51.50835864,-0.1247885311,1,WC2N 5HS
Charlton,51.48683498,0.03095604508,3,SE7 7AB
Cheam,51.35546027,-0.2141969246,5,SM3 8RZ
Chelsfield,51.35626457,0.108998479,6,BR6 6EU
Chesham,51.7053801,-0.6114151884,9,HP5 1DH
Cheshunt,51.70287332,-0.02387294672,8,EN8 9AQ
Chessington North,51.36424348,-0.3004617672,6,KT9 2RT
Chessington South,51.35670457,-0.3070746614,6,KT9 2DD
Chigwell,51.61785786,0.07619365669,4,IG7 6NT
Chingford,51.63325337,0.009528772109,5,E4 6AL
Chipstead,51.309275,-0.1694315249,6,CR5 3TD
Chislehurst,51.4055984,0.05750619621,5,BR7 5NN
Chiswick,51.48078153,-0.2669989236,3,W4 2QE
Chiswick Park,51.49437075,-0.2677225197,3,W4 5NE
Chorleywood,51.65426599,-0.5183194739,7,WD3 5ND
Church Street,51.37370657,-0.1043324641,5,CR0 1RN
City Thameslink,51.51393508,-0.1036040404,1,EC4M 7JH
Clapham Common,51.46180369,-0.1383005101,2,SW4 7AJ
Clapham High Street,51.46546953,-0.1324501091,2,SW4 6DQ
Clapham Junction,51.4643668,-0.1703006091,2,SW11 2QP
Clapham North,51.46491623,-0.1298956695,2,SW4 7TS
Clapham South,51.45267651,-0.1479696801,2,SW12 9DU
Clapton,51.56156909,-0.05747503459,2,E5 9JP
Clock House,51.40854057,-0.04068771691,4,BR3 4PR
Cobham and Stoke D'Abernon,51.31834724,-0.3890219985,6,KT11 3BW
Cockfosters,51.6520245,-0.1499022586,5,EN4 0DZ
Colindale,51.59523055,-0.2502731093,4,NW9 5HR
Colliers Wood,51.41875921,-0.177400721,3,SW19 2HR
Coombe Lane,51.35978932,-0.0595172109,6,CR0 5RF
Coulsdon South,51.31580096,-0.1378887436,6,CR5 3EA
Covent Garden,51.51276025,-0.1244924862,1,WC2E 9JT
Crayford,51.44854673,0.1785171044,6,DA1 3PY
Crews Hill,51.68447462,-0.1068296379,6,EN2 8AY
Cricklewood,51.55842269,-0.2125335113,3,NW2 1HL
Crofton Park,51.4551793,-0.03653219151,3,SE4 2RA
Crossharbour and London Arena,51.49583998,-0.01491840998,2,E14 8AD
Crouch Hill,51.57132711,-0.117118858,3,N4 4AU
Croxley,51.64700533,-0.4415893477,7,WD3 3DY
Crystal Palace,51.41817036,-0.07259285406,4,SE19 2AZ
Custom House,51.50962205,0.02578691773,3,E16 3BX
Cutty Sark for Maritime Greenwich,51.48194447,-0.01056746798,2,SE10 9SW
Cyprus,51.50852657,0.06385516294,3,E6 5PH
Dagenham Dock,51.52628718,0.1450454267,5,RM9 6RA
Dagenham East,51.54418732,0.16584785,5,RM10 8AA
Dagenham Heathway,51.54121177,0.1476941376,5,RM9 5AN
Dalston Junction,51.54609372,-0.07497978586,2,E8 3DL
Dalston Kingsland,51.54866783,-0.07621250217,2,E8 2JS
Dartford,51.44739962,0.2180979361,2,DA1 1BP
Debden,51.64549199,0.08381592529,6,IG10 3TG
Denmark Hill,51.46820065,-0.09097347517,2,SE5 8BB
Deptford,51.47889009,-0.02618192179,2,SE8 3NU
Deptford Bridge,51.47447677,-0.02203803241,3,SE10 8BU
Devons Road,51.52225847,-0.01799334274,2,E3 3QX
Dollis Hill,51.55185062,-0.238783341,3,NW10 5NB
Drayton Green,51.51600472,-0.3295968505,4,W13 0JX
Drayton Park,51.55307832,-0.1057557786,2,N5 1NT
Dundonald Road,51.41739817,-0.2075127343,3,SW19 3QJ
Ealing Broadway,51.51486201,-0.3019959725,3,W5 2NU
Ealing Common,51.51024869,-0.2871370104,3,W5 3LD
Earls Court,51.4913567,-0.1942994077,1,SW5 9QA
Earlsfield,51.44223883,-0.1872583024,3,SW18 4SW
East Acton,51.51626344,-0.2480978154,2,W12 0BP
East Croydon,51.37571611,-0.09184913063,5,CR0 1LF
East Dulwich,51.46162559,-0.08042217916,2,SE22 8EF
East Finchley,51.58733256,-0.1647294541,3,N2 0NW
East Ham,51.53924616,0.05153071013,3,E6 2JA
East India,51.50868401,-0.00235592438,2,E14 9PS
East Putney,51.45887981,-0.2109838428,3,SW15 6SN
Eastcote,51.57655187,-0.3968088711,5,HA5 1QZ
Eden Park,51.39079611,-0.02665534543,5,BR3 3HQ
Edgware,51.61422966,-0.2750792261,5,HA8 7AW
Edgware Road (Bakerloo),51.52064538,-0.1705251407,1,W2 1DY
Edgware Road (Circle/District/Hammersmith and City),51.51999806,-0.1676538436,1,NW1 5DH
Edmonton Green,51.62511571,-0.06162457546,4,N9 9DX
Elephant and Castle,51.49584939,-0.1007243117,2,SE1 6LW
Elm Park,51.54912456,0.1972671018,6,RM12 4RW
Elmers End,51.39829111,-0.04944945981,4,BR3 4EJ
Elmstead Woods,51.41708063,0.04424372108,4,BR7 5EW
Elstree and Borehamwood,51.65287561,-0.2798141668,6,WD6 3LS
Eltham,51.45566221,0.0523436982,4,SE9 6UB
Elverson Road,51.46837219,-0.01680198174,3,SE8 4LA
Embankment,51.50731251,-0.1223529298,1,WC2N 6NS
Emerson Park,51.56911488,0.2202373605,6,RM11 2JR
Enfield Chase,51.65272212,-0.09068975273,5,EN2 7AA
